Zwei Männer liegen auf der jeweils gegenüberliegenden Seite im Straßengraben. Beide sind tot. Was ist hier passiert?;Die Männer waren beide bei Nebel im Auto unterwegs. Weil sie nichts sehen konnten, kurbelten sie das Fenster hinunter und streckten die Köpfe nach draußen. Ihre Schädel kollidierten und beide landeten im Straßengraben. ;Zwei Männer;0
Nur 500 Euro verlangte eine Ehefrau für den funkelnagelneuen Porsche Ihres Mannes. Wieso?;Der Mann hatte zuvor Abgase mit einem Schlauch ins Auto geleitet. Seine Frau fand ihn Tage später - und bekam den Verwesungsgeruch nicht mehr aus dem Porsche - so musste sie das Auto billig verkaufen.;Unterpreis;0
Ein Mann macht sich fürs Bett fertig, löscht das Licht aus und schaltet das Licht aus - wenig später sterben viele Menschen deswegen. Was ist hier passiert?;Der Mann war Leuchtturmwärter - das fehlende Licht sorgte dafür, dass Schiffe untergingen.;Dunkelheit;0
Weil sie am Vortag neue Schuhe kaufte, musste sie sterben. Wieso?;Sie war die Assistentin eines Messerwerfers. Die Absätze ihrer neuen Schuhe waren höher und so trafen die Messer sie.;Verhängnisvolles Shoppen;0
Ein nackter Mann liegt tot in der Wüste - neben ihm ist nur ein Streichholz zu finden. Was ist hier passiert?;Der Mann war mit einem Freund über der Wüste in einem Heißluftballon unterwegs. Das Helium wurde knapp und sie drohten abzustürzen. Sie warfen allen möglichen Ballast ab - doch es reichte nicht. Der Mann zog das kürzere Streichholz und musste aus dem Ballon springen.;Heiß;0
Eine Frau wacht morgens auf und bringt sich um. Wieso?;Die Dame hatte eine seltene Knochenkrankheit. Man sollte ihr das linke Bein amputieren. Morgens wachte sie jedoch auf und das rechte Bein fehlte. Sie wollte ein solches Leben nicht führen.;Morgens;0
Ein Mann steigt aus einem großen Fahrzeug und nimmt sich das Leben. Was ist passiert?;Der Mann ist Landwirt und steigt aus seinem Traktor. Seine Kinder haben im Feld Verstecken gespielt und sind unter das Fahrzeug geraten. Der Mann bringt sich vor Schuldgefühlen um.;Kurze Fahrt;0
Eine Frau begegnet auf der Beerdigung ihrer Mutter einem Mann, den sie noch nie zuvor gesehen hat. Wenige Tage später ist ihre Schwester gestorben. Wieso?;Die Frau hat sich auf der Beerdigung unsterblich in den Mann verliebt. Leider hat sie nicht seine Nummer bekommen - und so hat sie ihre Schwester umgebracht - in der Hoffnung ihn auf deren Beerdigung wiederzusehen.;Tödliche Bekantschaft;0
Ein Mann liegt tot in einer Sauna. Neben ihm steht ein Behälter mit Wasser. Was ist hier passiert?;Das perfekte Verbrechen - jemand hat den Mann mit einem spitzen Eiszapfen in der Sauna getötet. Die Tatwaffe hat sich in dem Behälter verflüssigt und so gibt es weder Zeugen noch Fingerabdrücke.;Aufguss;0
20 Musiker eines Orchesters spielen gemeinsam vor Publikum - aber niemand hört zu. Wie ist das möglich?;Die Musiker spielen vor Publikum - aber keine Musikstücke sondern Fußball!;Orchester;0
